X,Y,Name,description,altitudeMode,PKNRD,ADA,LINES,STATION_ID,POINT_Y,POINT_X,LONGNAME,ADDRESS,GTFS,Field_1
-87.640984216717,41.8755389040613,Clinton,,clampToGround,No,Not ADA  Accessible,Blue Line,430,1897996.84712,1172806.092092,Clinton-Congress,426 S. Clinton Street,40430,Clinton
-87.6577340455751,41.9642541590094,Wilson,,clampToGround,No,Not ADA  Accessible,Red Line,540,1930295.534383,1168029.494071,Wilson,4920 N. Broadway Street,40540,Wilson
-87.6856172565483,42.0639865432109,Central,,clampToGround,No,Not ADA  Accessible,"Purple Line, Evanston Express",1250,1966573.104464,1160131.387184,Central-Evanston,1022 W. Central Avenue,41250,Central
-87.683560326389,42.0541602239534,Foster,,clampToGround,No,Not ADA  Accessible,"Purple Line, Evanston Express",520,1962996.532301,1160717.135152,Foster,900 W. Foster Street,40520,Foster
-87.6549293921929,41.9537749464939,Sheridan,,clampToGround,No,Not ADA  Accessible,Red Line,80,1926475.826475,1168782.699064,Sheridan,3940 N. Sheridan Road,40080,Sheridan
-87.6308860183396,41.8857369853217,Clark/Lake,,clampToGround,No,ADA Accessible,"Brown, Orange, Pink, Purple (Express), Green, Blue",380,1901735.36642,1175525.859134,Clark/Lake,100 W. Lake,40380,Clark/Lake
-87.6314122930071,41.9039203118956,Clark/Division,,clampToGround,No,ADA Accessible,Red Line,630,1908360.200474,1175328.346174,Clark/Division,1200 N. Clark Street,40630,Clark/Division
-87.6907295185593,42.0731527613458,Linden,,clampToGround,Yes,ADA Accessible,"Purple Line, Evanston Express",1050,1969902.898515,1158718.091054,Linden,349 W. Linden Avenue,41050,Linden
-87.6339733602881,41.8889679328783,Merchandise Mart,,clampToGround,No,ADA Accessible,"Brown, Purple (Express)",460,1902905.856021,1174675.578173,Merchandise Mart,350 N. Wells Street,40460,Merchandise Mart
-87.6636095599417,41.9438122552373,Southport,,clampToGround,No,ADA Accessible,Brown Line,360,1922826.818344,1166449.96255,Southport,3411 N. Southport Avenue,40360,Southport
-87.6275960975643,41.8781527560194,Jackson,,clampToGround,No,ADA Accessible,Red Line,560,1898979.028497,1176444.434239,Jackson/State,230 S. State,40560,Jackson
-87.8593877016713,41.983507286909,Rosemont,,clampToGround,Yes,ADA Accessible,Blue Line,820,1936936.482101,1113107.880452,Rosemont,5801 N. River Road,40820,Rosemont
-87.6664960669022,41.9033550845535,Division,,clampToGround,No,Not ADA  Accessible,Blue Line,320,1908078.03625,1165779.323701,Division/Milwaukee,1200 N. Milwaukee Avenue,40320,Division
-87.6310004490703,41.7805343336316,63rd,,clampToGround,No,ADA Accessible,Red Line,910,1863399.657456,1175808.13267,63rd-Dan Ryan,220 W. 63rd Street,40910,63rd
-87.6214628110137,41.8218151955622,Indiana,,clampToGround,No,ADA Accessible,Green Line,300,1878463.561726,1178284.914497,Indiana,4003 S. Indiana Avenue,40300,Indiana
-87.7446984001954,41.8865193525822,Cicero,,clampToGround,No,ADA Accessible,Green Line (Lake),480,1901787.326484,1144532.748065,Cicero-Lake,4800 W. Lake Street,40480,Cicero
-87.6337399759663,41.8787232825523,Quincy/Wells,,clampToGround,No,ADA Accessible,"Brown, Orange, Pink, Purple (Express)",40,1899173.22933,1174769.559101,Quincy/Wells,220 S. Wells Street,40040,Quincy/Wells
-87.6585299635243,41.9734533219415,Argyle,,clampToGround,No,Not ADA  Accessible,Red Line,1200,1933638.97733,1167746.828087,Argyle,1118 W. Argyle Street,41200,Argyle
-87.6749557433323,41.954523138597,Irving Park,,clampToGround,No,ADA Accessible,Brown Line,1460,1926705.985067,1163333.209139,Irving Park-Ravenswood,1816 W. Irving Park Dr,41460,Irving Park
-87.65945550927,41.8758856338414,Racine,,clampToGround,No,Not ADA  Accessible,Blue Line,470,1898083.157521,1167774.555959,Racine,430 S. Racine Avenue,40470,Racine
-87.6282091445608,41.8769083394861,Library,,clampToGround,No,ADA Accessible,"Brown, Orange, Pink, Purple (Express)",850,1898524.192017,1176281.206847,Library,26 W. Van Buren Street,40850,Library
-87.6258093500417,41.7683678649297,69th,,clampToGround,No,ADA Accessible,Red Line,990,1858977.892844,1177260.463424,69th,15 W. 69th Street,40990,69th
-87.7379563716877,41.7866135500972,Midway,,clampToGround,Yes,ADA Accessible,Orange Line,930,1865394.754546,1146620.917027,Midway Airport,4612 W. 59th Street,40930,Midway
-87.6481311042674,41.8469014399367,Halsted,,clampToGround,Yes,ADA Accessible,Orange Line,1130,1887545.796103,1170942.965562,Halsted-Midway,2520 S. Archer Avenue,41130,Halsted
-87.6759740960534,41.8545148610917,Damen,,clampToGround,No,ADA Accessible,Pink,210,1890260.804873,1163335.476019,Damen,2010 S. Damen Avenue,40210,Damen
-87.7148802641176,41.853991954008,Central Park,,clampToGround,No,ADA Accessible,Pink,780,1889991.515913,1152737.528617,Central Park,1915 S. Central Park Avenue,40780,Central Park
-87.72432672502,41.853856830287,Pulaski,,clampToGround,No,ADA Accessible,Pink,150,1889923.883017,1150164.331558,Pulaski-Douglas,2005 S. Pulaski Road,40150,Pulaski
-87.7332636586134,41.8537506860736,Kostner,,clampToGround,No,ADA Accessible,Pink,600,1889868.062985,1147729.863972,Kostner,2019 S. Kostner Avenue,40600,Kostner
-87.7453420098596,41.8519247140258,Cicero,,clampToGround,No,ADA Accessible,Pink,420,1889179.920904,1144443.843873,Cicero-Douglas,2133 S. 48th Court,40420,Cicero
-87.6309678262777,41.8532057950767,Cermak-Chinatown,,clampToGround,No,ADA Accessible,Red Line,1000,1889880.865545,1175600.577598,Cermak-Chinatown,138 W. Cermak Road,41000,Cermak-Chinatown
-87.7472210136911,42.026243893621,Oakton-Skokie,,clampToGround,No,ADA Accessible,Yellow Line,1680,1952698.681155,1143497.614368,Oakton-Skokie,4802 W Oakton,41680,Oakton-Skokie
-87.6521279920675,41.8855767877886,Morgan,,clampToGround,No,ADA Accessible,"Green (Lake), Pink",1510,1901630.358292,1169742.118969,Morgan,1000 W Lake St,41510,Morgan
-87.6264023849289,41.8531150824747,Cermak-McCormick Pl,,clampToGround,No,ADA Accessible,Green Line,1690,1889858.017033,1176844.653375,Cermak-McCormick Place,12 E. Cermak Rd.,41690,Cermak-McCormick Pl
