SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAME,POINT_X,Longitude,Latitude,LEDSIGN,ADA,
120,,JACKSON,CALIFORNIA,WB,FS,126,,CHICAGO,In Service,Jackson & California,-87.696483,41.877496,Point,0,1
15692,,CERMAK,CARPENTER,WB,FS,21,,CHICAGO,In Service,Cermak & Carpenter,-87.653402,41.85261,Point,0,1
6849,,CERMAK,LUMBER,WB,NS,21,,CHICAGO,In Service,Cermak & Lumber,-87.641545,41.852771,Point,0,1
11499,,PETERSON,LAWNDALE,WB,NS,84,,CHICAGO,In Service,Peterson & Lawndale,-87.721021,41.990283,Point,0,1
10822,,71ST STREET,PAXTON,WB,NS,71,,CHICAGO,In Service,71st Street & Paxton,-87.571218,41.766337,Point,1,1
9484,,87TH STREET,CALUMET,WB,NS,87,,CHICAGO,In Service,87th Street & Calumet,-87.616071,41.736557,Point,0,1
11372,,MONTROSE,RAVENSWOOD,WB,NS,78,,CHICAGO,In Service,Montrose & Ravenswood,-87.673689,41.961595,Point,0,1
11487,,PETERSON,CAMPBELL,WB,NS,84,,CHICAGO,In Service,Peterson & Campbell,-87.692045,41.990596,Point,0,0
3543,,OAKTON,KOSTNER,WB,NS,97,,SKOKIE,In Service,Oakton & Kostner,-87.737518,42.026291,Point,0,1
12631,,ADDISON,PARIS,WB,NS,152,,CHICAGO,In Service,Addison & Paris,-87.830239,41.945032,Point,0,0
11493,,PETERSON,WHIPPLE,WB,NS,84,,CHICAGO,In Service,Peterson & Whipple,-87.705201,41.990514,Point,0,0
12070,,LUNT,HAMILTON,WB,NS,96,,CHICAGO,In Service,Lunt & Hamilton,-87.683795,42.008939,Point,0,0
10314,,CICERO,DICKENS,NB,NS,54,,CHICAGO,In Service,Cicero & Dickens,-87.746023,41.918696,Point,0,1
7659,,HARLEM,56TH STREET,NB,NS,62H,,CHICAGO,In Service,Harlem & 56th Street,-87.801283,41.790092,Point,0,1
