X,Y,gid,Name,description,ASSET_ID,SHAPE.LEN,OBJECTID_1,DESCRIPTIO,LINES,ALT_LEGEND,BRANCH,TYPE,LEGEND,Field_1
-87.7365936788005,41.957065223671,101,Blue Line (O'Hare),,21100110,5022.851196,103,Montrose to Irving Park,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6916693941789,41.8543317116405,140,Pink Line,,21100143,2627.771621,142,California to Western,Pink Line,PK,Pink Line,Elevated or at Grade,PK,Pink Line
-87.7529684705412,41.966234218715,103,Blue Line (O'Hare),,21100112,5796.537775,105,Jefferson Park to Montrose,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6310514787958,41.7896971241809,104,Red Line,,21100113,5425.12895,106,63rd to Garfield,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6303725396141,41.8201861047548,105,Red Line,,21100114,7640.992824,107,47th to Sox-35th,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6310836937897,41.8423444235561,106,Red Line,,21100115,8041.451996,108,Sox-35th to Cermak-Chinatown,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6274602319415,41.8699890083589,107,Red Line,,21100116,2431.450774,109,Roosevelt to Harrison,Red Line,RD,Red Line State Street Subway,Subway,RD,Red Line
-87.6109970928052,41.7802085628375,108,Green Line,,21100118,2643.495767,110,East 63rd/Cottage Grove to King Drive,Green Line,GR,Green Line East 63rd Branch,Elevated or at Grade,GR,Green Line
-87.6179788331164,41.7826324585615,109,Green Line,,21100119,3308.823773,111,King Drive to 59th Junction,Green Line,GR,Green Line East 63rd Branch,Elevated or at Grade,GR,Green Line
-87.6564966696924,41.7790840125739,111,Green Line,,21100121,5416.267551,113,Ashland to Halsted,Green Line,GR,Green Line Ashland/63rd Branch,Elevated or at Grade,GR,Green Line
-87.6181835965228,41.7904206632057,112,Green Line,,21100122,2810.024173,114,59th Junction to Garfield,Green Line,GR,Green Line South Elevated,Elevated or at Grade,GR,Green Line
-87.6184069504636,41.7981803220017,113,Green Line,,21100123,2520.365825,115,Garfield to 51st,Green Line,GR,Green Line South Elevated,Elevated or at Grade,GR,Green Line
