X,Y,gid,Name,description,ASSET_ID,SHAPE.LEN,OBJECTID_1,DESCRIPTIO,LINES,ALT_LEGEND,BRANCH,TYPE,LEGEND,Field_1
-87.6839915589615,42.0611703765659,11,Purple Line,,21100011,2193.050365,11,Central to Noyes,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6880623097239,42.0685052041779,16,Purple Line,,21100016,3618.727843,16,Linden to Central,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6281086757807,41.8948708960633,26,Red Line,,21100026,1824.767957,26,Chicago to Grand,Red Line,RD,Red Line North Side,Subway,RD,Red Line
-87.6370158214706,41.9035075643008,28,"Brown, Purple",,21100028,5532.304383,28,Sedgwick to Chicago,"Brown, Purple",BRPR,Brown Line,Elevated or at Grade,BR,"Brown, Purple"
-87.6260419144577,41.8775052843198,31,"Brown, Green, Orange, Pink, Purple (Exp)",,21100031,1022.956829,31,Adams/Wabash to Tower 12,"Brown, Green, Orange, Pink, Purple (Exp)",L4,Loop Elevated,Elevated or at Grade,ML,"Brown, Green, Orange, Pink, Purple (Exp)"
-87.6264547319832,41.855919203586,153,Green Line,,21100100,2057.480701,1281,17th Junction to Cermak-McCormick Place,Green Line,GR,<Null>,Elevated or at Grade,GR,Green Line
-87.6261358977243,41.8422837471814,154,Green Line,,21100166,7813.440129,1282,Cermak-McCormick Place to 35-Bronzeville-IIT,Green Line,GR,Green Line South Elevated,Elevated or at Grade,GR,Green Line
-87.7019201741466,42.0226274901179,41,Yellow Line,,21100041,21195.444223,41,Oakton to Howard,Yellow Line,YL,Yellow Line,Elevated or at Grade,YL,Yellow Line
-87.6262394165396,41.8848888030819,46,"Brown, Green, Orange, Pink, Purple (Exp)",,21100047,874.799786,47,State/Lake to Randolph/Wabash,"Brown, Green, Orange, Pink, Purple (Exp)",L4,Loop Elevated,Elevated or at Grade,ML,"Brown, Green, Orange, Pink, Purple (Exp)"
-87.6625868571798,41.8758407071592,60,Blue Line (O'Hare),,21100062,2199.893428,61,Loomis Junction to Racine,Blue Line (O'Hare),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6748141168601,41.9503004811494,70,Brown Line,,21100072,2731.994673,71,Irving Park to Addison,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.8469096163292,41.983928614849,75,Blue Line (O'Hare),,21100078,5815.960625,76,Rosemont to Cumberland,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.7804004700988,41.8872189644589,79,Green Line,,21100082,2594.492727,80,Ridgeland to Austin,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.6245638947792,41.7285230352048,88,Red Line,,21100094,4736.478043,89,95/Dan Ryan to 87th,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6314034597474,41.8024713602944,92,Red Line,,21100098,5476.512384,93,Garfield to 47th,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.7029899828623,41.9256632987379,98,Blue Line (O'Hare),,21100107,4266.422339,100,Logan Square to California,Blue Line (O'Hare),BL,Blue Line O'Hare,Subway,BL,Blue Line (O'Hare)
-87.7728063254549,41.9761323833823,102,Blue Line (O'Hare),,21100111,14394.666365,104,Harlem to Jefferson Park,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6320398114865,41.7825972090874,110,Green Line,,21100120,9551.67047,112,Halsted to 59th Junction,Green Line,GR,Green Line Ashland/63rd Branch,Elevated or at Grade,GR,Green Line
-87.6257463271297,41.8263176631124,117,Green Line,,21100127,4677.797005,119,Indiana to 35-Bronzeville-IIT,Green Line,GR,Green Line South Elevated,Elevated or at Grade,GR,Green Line
