RCDT,Site Number,Site Name,Site Address,Site City,Site County,Site Zip,Zip 5,Free Eligibles,Reduced Eligibles,Free and Reduced,Enrollment,Eligibility Percent,Participates in CEP
15016001P00,10842,St John De La Salle School,10212 S Vernon Ave,Chicago,Cook,60628-2216,60628,129,0,129,143,90.14%,X
15016001P00,10843,St Jane De Chantal School,5201 S McVicker Ave,Chicago,Cook,60638-1445,60638,20,8,28,230,12.17%,
15016001P00,10847,St John Vianney School,27 N Lavergne Ave,Northlake,Cook,60164-1664,60164,81,22,103,169,60.95%,
15016001P00,10849,St Germaine School,9735 S Kolin Ave,Oak Lawn,Cook,60453-3581,60453,27,9,36,219,16.44%,
15016001P00,10850,St Catherine of Siena-St Lucy,27 Washington Blvd,Oak Park,Cook,60302-4308,60302,151,0,151,169,88.8%,X
15016001P00,10854,St Ann School,3014 Ridge Rd,Lansing,Cook,60438-3020,60438,45,16,61,158,38.61%,
15016001P00,10857,St Alphonsus - St Patrick,20W145 Davey Rd,Lemont,Cook,60439-9009,60439,5,0,5,139,3.6%,
15016001P00,10858,St Margaret of Scotland School,9833 S Throop St,Chicago,Cook,60643-1490,60643,222,0,222,253,87.74%,X
15016001P00,10868,St Malachy School,2252 W Washington Blvd,Chicago,Cook,60612-2236,60612,208,0,208,208,100%,X
15016001P00,10869,St John Brebeuf School,8301 N Harlem Ave,Niles,Cook,60714-2616,60714,17,3,20,260,7.69%,
15016001P00,10873,Santa Lucia,3017 S Wells St,Chicago,Cook,60616-2739,60616,25,8,33,82,40.24%,
15016001P00,10874,St Hubert School,255 Flagstaff Ln,Hoffman Estates,Cook,60169-3252,60169,18,2,20,310,6.45%,
15016001P00,10879,Sacred Heart School,2926 E 96th St,Chicago,Cook,60617-5010,60617,109,21,130,171,76.02%,
15016001P00,10881,St Stanislaus Kostka School,1255 N Noble St,Chicago,Cook,60642-3336,60642,53,13,66,154,42.86%,
15016001P00,10882,St Sylvester Catholic School,3027 W Palmer Blvd,Chicago,Cook,60647-2816,60647,169,29,198,278,71.22%,
15016001P00,10883,St Symphorosa School,6125 S Austin Ave,Chicago,Cook,60638-4349,60638,49,10,59,202,29.21%,
15016001P00,10884,Pope Francis Global Academy North Campus,6040 W Ardmore Ave,Chicago,Cook,60646-5320,60646,24,3,27,246,10.98%,
15016001P00,10886,St Therese School,247 W 23rd St,Chicago,Cook,60616-1903,60616,88,23,111,304,36.51%,
15016001P00,10887,St Thomas the Apostle Elementary,5467 S Woodlawn Ave,Chicago,Cook,60615-5209,60615,100,12,112,303,36.96%,
15016001P00,10889,St Celestine School,3017 N 77th Ave,Elmwood Park,Cook,60707-1110,60707,69,8,77,405,19.01%,
15016001P00,10890,Pope John XXIII School,1120 Washington St,Evanston,Cook,60202-1620,60202,33,4,37,221,16.74%,
15016001P00,10893,St Richard School,5025 S Kenneth Ave,Chicago,Cook,60632-4535,60632,141,35,176,274,64.23%,
15016001P00,10894,St Sabina Academy,7801 S Throop St,Chicago,Cook,60620-3758,60620,215,0,215,215,100%,X
15016001P00,10896,Our Lady of Grace School,2446 N Ridgeway Ave,Chicago,Cook,60647-2325,60647,1991,0,1991,1991,100%,X
15016001P00,10897,Our Lady of Guadalupe,9050 S Burley Ave,Chicago,Cook,60617-4404,60617,150,0,150,150,100%,X
15016001P00,10901,Our Lady of the Snows School,4810 S Leamington Ave,Chicago,Cook,60638-2150,60638,133,31,164,198,82.83%,
15016001P00,10906,St Philip Neri School,2110 E 72nd St,Chicago,Cook,60649-3010,60649,109,0,109,110,99.05%,X
15016001P00,10908,St Pius V School,1919 S Ashland Ave,Chicago,Cook,60608-2903,60608,102,30,132,180,73.33%,
15016001P00,10910,St Procopius Elem School,1625 S Allport St,Chicago,Cook,60608-2131,60608,208,0,208,240,86.26%,X
15016001P00,10912,Academy of St Benedict,6020 S Laflin St,Chicago,Cook,60636-2310,60636,223,0,223,223,100%,X
15016001P00,10915,St Mary of the Angels,1810 N Hermitage Ave,Chicago,Cook,60622-1101,60622,51,10,61,228,26.75%,
15016001P00,10916,St Mary of the Lake School,1026 W Buena Ave,Chicago,Cook,60613-2009,60613,261,0,261,261,100%,X
15016001P00,10918,St Mary Star of the Sea,6424 S Kenneth Ave,Chicago,Cook,60629-5525,60629,89,30,119,218,54.59%,
15016001P00,10919,Maternity B V M School,1537 N Lawndale Ave,Chicago,Cook,60651-2105,60651,191,0,191,191,100%,X
15016001P00,10920,St Matthias/Transfiguration Sch,4910 N Claremont Ave,Chicago,Cook,60625-1972,60625,47,0,47,291,16.15%,
15016001P00,10921,St Nicholas of Tolentine School,3741 W 62nd St,Chicago,Cook,60629-4014,60629,378,0,378,395,95.52%,X
15016001P00,10922,St Nicholas Cathedral,2200 W Rice St,Chicago,Cook,60622-4811,60622,96,5,101,169,59.76%,
15016001P00,10923,Bridgeport Catholic - S Campus,3700 S Lowe Ave,Chicago,Cook,60609-1643,60609,30,6,36,253,14.23%,
15016001P00,10925,St Monica School,5115 N Mont Clare Ave,Chicago,Cook,60656-3601,60656,15,2,17,252,6.75%,
15016001P00,10926,St Michael School,8231 S South Shore Dr,Chicago,Cook,60617-2152,60617,80,0,80,80,100%,X
15016001P00,10940,St Zachary School,567 W Algonquin Rd,Des Plaines,Cook,60016-5702,60016,24,3,27,150,18%,
15016001P00,10946,Children of Peace School,1900 W Taylor St,Chicago,Cook,60612-3742,60612,62,20,82,166,49.4%,
15016001P00,10948,San Miguel/Back-of-the-Yards,1949 W 48th St,Chicago,Cook,60609-4145,60609,89,0,89,89,100%,X
15016001P00,10951,Cristo Rey Jesuit High School,1852 W 22nd Pl,Chicago,Cook,60608-4302,60608,568,0,568,578,98.14%,X
15016001P00,11652,St Benedict,2324 New St,Blue Island,Cook,60406-2402,60406,72,14,86,148,58.11%,
15016001P00,11669,St Bartholomew School,4941 W Patterson Ave,Chicago,Cook,60641-3512,60641,70,6,76,211,36.02%,
15016001P00,11670,St Bede the Venerable,8200 S Kostner Ave,Chicago,Cook,60652-2196,60652,97,46,143,280,51.07%,
15016001P00,11671,St Cajetan,2447 W 112th St,Chicago,Cook,60655-1351,60655,4,0,4,385,1.04%,
15016001P00,11704,St Hilary School,5614 N Fairfield Ave,Chicago,Cook,60659-4817,60659,56,6,62,179,34.64%,
15016001P00,11726,St Albert the Great School,5535 State Rd,Burbank,Cook,60459-2049,60459,53,10,63,185,34.05%,
15016001P00,11737,St Patricia School,9000 S 86th Ave,Hickory Hills,Cook,60457-1351,60457,30,3,33,181,18.23%,
15016001P00,11748,Pope Francis Global Academy South Campus,6143 W Irving Park Rd,Chicago,Cook,60634-2564,60634,45,6,51,207,24.64%,
15016001P00,11751,Queen of Martyrs,3550 W 103rd St,Evergreen Park,Cook,60805-2417,60805,20,2,22,235,9.36%,
15016001P00,11752,Queen of the Universe,7130 S Hamlin Ave,Chicago,Cook,60629-4321,60629,165,0,165,184,89.33%,X
15016001P00,11764,St Christopher School,14611 Keeler Ave,Midlothian,Cook,60445-2726,60445,77,16,93,208,44.71%,
15016001P00,15139,Christ Our Savior Catholic School,900 E 154th St,South Holland,Cook,60473-1106,60473,88,16,104,155,67.1%,
15016001P00,42372,Christ the King,9240 S Hoyne Ave,Chicago,Cook,60643-6303,60643,7,0,7,374,1.87%,
15016001P00,42878,St Mary School,97 Herrick Rd,Riverside,Cook,60546-2014,60546,23,4,27,394,6.85%,
15016001P00,44283,Immaculate Conception,8739 S Exchange Ave,Chicago,Cook,60617-3120,60617,208,0,208,208,100%,X
15016001P00,46370,LEARN Charter Schools,1132 S Homan Ave,Chicago,Cook,60624-4344,60624,3724,0,3724,3724,100%,X
15016001P00,47071,Prince of Peace,135 S Milwaukee Ave,Lake Villa,Lake,60046-8550,60046,16,0,16,214,7.48%,
15016001P00,50949,Ascension,601 Van Buren St,Oak Park,Cook,60304-1310,60304,36,15,51,439,11.62%,
15016001P00,57065,Providence-Englewood Elem Charter,6515 S Ashland Ave,Chicago,Cook,60636-3003,60636,511,0,511,511,100%,X
15016001P00,59074,Catalyst Circle Rock Elem School,5608 W Washington Blvd,Chicago,Cook,60644-3009,60644,521,0,521,521,100%,X
15016001P00,65043,Frassati Catholic Academy,316 W Mill St,Wauconda,Lake,60084-1832,60084,13,0,13,185,7.03%,
